epoch,startBlock,lockBlock,endBlock,lockPrice,closePrice,totalAmount,bullAmount,bearAmount,rewardBaseCalAmount,rewardAmount,oracleCalled
841,7039138,7039238,7039338,62734160775,62573000000,9.26862E+19,2.50175E+19,6.76686E+19,6.76686E+19,8.99056E+19,TRUE
842,7039241,7039341,7039441,62573000000,62613310299,8.93963E+19,4.90193E+19,4.03771E+19,4.90193E+19,8.67145E+19,TRUE
843,7039345,7039445,7039545,62613310299,62587130242,1.01212E+20,5.44609E+19,4.67508E+19,4.67508E+19,9.81753E+19,TRUE
844,7039448,7039548,7039648,62587130242,62471948320,6.77157E+19,3.69343E+19,3.07813E+19,3.07813E+19,6.56842E+19,TRUE
845,7039551,7039651,7039751,62471948320,62156087652,1.14159E+20,4.64019E+19,6.77572E+19,6.77572E+19,1.10734E+20,TRUE
846,7039654,7039754,7039854,62156087652,61550358447,1.25169E+20,7.22697E+19,5.28998E+19,5.28998E+19,1.21414E+20,TRUE
847,7039757,7039857,7039957,61550358447,61558795756,1.24577E+20,4.98144E+19,7.47627E+19,4.98144E+19,1.2084E+20,TRUE
848,7039860,7039960,7040060,61558795756,61265675847,9.80773E+19,5.13439E+19,4.67334E+19,4.67334E+19,9.5135E+19,TRUE
849,7039963,7040063,7040163,61265675847,61614000000,1.33507E+20,5.49855E+19,7.85213E+19,5.49855E+19,1.29502E+20,TRUE
850,7040066,7040166,7040266,61614000000,61816000000,1.60293E+20,7.29188E+19,8.73741E+19,7.29188E+19,1.55484E+20,TRUE
851,7040169,7040269,7040369,61816000000,62009410573,8.92542E+19,5.85231E+19,3.07311E+19,5.85231E+19,8.65766E+19,TRUE
852,7040272,7040372,7040472,62009410573,62022000000,1.26887E+20,4.67674E+19,8.01199E+19,4.67674E+19,1.23081E+20,TRUE
853,7040375,7040475,7040575,62022000000,62117143678,6.56038E+19,3.72918E+19,2.83119E+19,3.72918E+19,6.36357E+19,TRUE
854,7040479,7040579,7040679,62117143678,62123154871,1.38651E+20,7.55166E+19,6.31348E+19,7.55166E+19,1.34492E+20,TRUE
855,7040582,7040682,7040782,62123154871,61870391429,8.26215E+19,1.47388E+19,6.78827E+19,6.78827E+19,8.01429E+19,TRUE
856,7040685,7040785,7040885,61870391429,61822427052,7.94279E+19,2.78322E+19,5.15956E+19,5.15956E+19,7.7045E+19,TRUE
857,7040787,7040887,7040987,61822427052,61819670331,3.97346E+19,2.17407E+19,1.79938E+19,1.79938E+19,3.85425E+19,TRUE
858,7040889,7040989,7041089,61819670331,61738000000,8.26658E+19,4.79959E+19,3.46699E+19,3.46699E+19,8.01859E+19,TRUE
859,7040992,7041092,7041192,61738000000,61755550925,4.63509E+19,2.52243E+19,2.11266E+19,2.52243E+19,4.49603E+19,TRUE
860,7041094,7041194,7041294,61755550925,61776954995,5.47771E+19,2.86734E+19,2.61037E+19,2.86734E+19,5.31338E+19,TRUE
861,7041196,7041296,7041396,61776954995,61813898717,4.94614E+19,3.20193E+19,1.74421E+19,3.20193E+19,4.79776E+19,TRUE
862,7041298,7041398,7041498,61813898717,61924522906,7.06714E+19,3.11054E+19,3.9566E+19,3.11054E+19,6.85513E+19,TRUE
863,7041401,7041501,7041601,61924522906,62057096125,5.25681E+19,3.38459E+19,1.87223E+19,3.38459E+19,5.09911E+19,TRUE
864,7041503,7041603,7041703,62057096125,62003307982,1.11868E+20,8.87621E+19,2.31056E+19,2.31056E+19,1.08512E+20,TRUE
865,7041605,7041705,7041805,62003307982,62000000000,4.98947E+19,1.97157E+19,3.0179E+19,3.0179E+19,4.83979E+19,TRUE
866,7041707,7041807,7041907,62000000000,62010238077,4.30685E+19,1.8721E+19,2.43475E+19,1.8721E+19,4.17765E+19,TRUE
867,7041809,7041909,7042009,62010238077,62081045258,6.38665E+19,4.86841E+19,1.51824E+19,4.86841E+19,6.19505E+19,TRUE
868,7041911,7042011,7042111,62081045258,62085091247,4.39059E+19,2.41944E+19,1.97116E+19,2.41944E+19,4.25887E+19,TRUE
869,7042014,7042114,7042214,62085091247,62189147507,9.67218E+19,2.48524E+19,7.18694E+19,2.48524E+19,9.38201E+19,TRUE
870,7042116,7042216,7042316,62189147507,62287724856,7.74466E+19,4.74451E+19,3.00015E+19,4.74451E+19,7.51232E+19,TRUE
871,7042219,7042319,7042419,62287724856,62371153272,5.84138E+19,3.20603E+19,2.63535E+19,3.20603E+19,5.66614E+19,TRUE
872,7042322,7042422,7042522,62371153272,62510268424,5.84075E+19,3.05687E+19,2.78388E+19,3.05687E+19,5.66553E+19,TRUE
873,7042424,7042524,7042624,62510268424,62522125448,8.63096E+19,4.58982E+19,4.04114E+19,4.58982E+19,8.37203E+19,TRUE
874,7042526,7042626,7042726,62522125448,62418000000,4.84902E+19,1.60233E+19,3.24668E+19,3.24668E+19,4.70355E+19,TRUE
875,7042628,7042728,7042828,62418000000,62340061724,8.2349E+19,3.5383E+19,4.6966E+19,4.6966E+19,7.98785E+19,TRUE
876,7042730,7042830,7042930,62340061724,62405000000,4.59589E+19,2.39532E+19,2.20057E+19,2.39532E+19,4.45801E+19,TRUE
877,7042833,7042933,7043033,62405000000,62449299482,8.37576E+19,5.96912E+19,2.40664E+19,5.96912E+19,8.12449E+19,TRUE
878,7042935,7043035,7043135,62449299482,62549007357,6.51136E+19,3.93417E+19,2.57719E+19,3.93417E+19,6.31602E+19,TRUE
879,7043037,7043137,7043237,62549007357,62712000000,9.17401E+19,6.75467E+19,2.41934E+19,6.75467E+19,8.89879E+19,TRUE
880,7043140,7043240,7043340,62712000000,62707424311,7.38595E+19,5.26107E+19,2.12488E+19,2.12488E+19,7.16437E+19,TRUE
881,7043242,7043342,7043442,62707424311,62695090100,6.85277E+19,2.81335E+19,4.03942E+19,4.03942E+19,6.64719E+19,TRUE
882,7043345,7043445,7043545,62695090100,62776328079,7.38473E+19,4.63326E+19,2.75148E+19,4.63326E+19,7.16319E+19,TRUE
883,7043447,7043547,7043647,62776328079,62792290866,7.71534E+19,4.82777E+19,2.88756E+19,4.82777E+19,7.48388E+19,TRUE
884,7043549,7043649,7043749,62792290866,62827000000,8.26967E+19,6.4559E+19,1.81377E+19,6.4559E+19,8.02158E+19,TRUE
885,7043651,7043751,7043851,62827000000,62789000000,7.76429E+19,2.3525E+19,5.41178E+19,5.41178E+19,7.53136E+19,TRUE
886,7043754,7043854,7043954,62789000000,62650718925,6.06834E+19,3.14741E+19,2.92092E+19,2.92092E+19,5.88629E+19,TRUE
887,7043857,7043957,7044057,62650718925,62648175384,9.11136E+19,3.53897E+19,5.5724E+19,5.5724E+19,8.83802E+19,TRUE
888,7043959,7044059,7044159,62648175384,62662624982,7.24037E+19,3.97141E+19,3.26896E+19,3.97141E+19,7.02316E+19,TRUE
889,7044062,7044162,7044262,62662624982,62664233631,8.0761E+19,4.1967E+19,3.87939E+19,4.1967E+19,7.83381E+19,TRUE
890,7044165,7044265,7044365,62664233631,62716867034,6.51619E+19,1.44982E+19,5.06637E+19,1.44982E+19,6.3207E+19,TRUE
891,7044267,7044367,7044467,62716867034,62613534632,6.49981E+19,4.18875E+19,2.31105E+19,2.31105E+19,6.30481E+19,TRUE
892,7044370,7044470,7044570,62613534632,62493320471,8.22455E+19,3.46799E+19,4.75657E+19,4.75657E+19,7.97782E+19,TRUE
893,7044472,7044572,7044672,62493320471,62507168280,8.1488E+19,5.39425E+19,2.75455E+19,5.39425E+19,7.90434E+19,TRUE
894,7044574,7044674,7044774,62507168280,62477661392,6.12989E+19,3.78868E+19,2.34121E+19,2.34121E+19,5.94599E+19,TRUE
895,7044678,7044778,7044878,62477661392,62454052346,1.03107E+20,4.5139E+19,5.79677E+19,5.79677E+19,1.00013E+20,TRUE
896,7044781,7044881,7044981,62454052346,62431000000,7.89867E+19,2.80322E+19,5.09545E+19,5.09545E+19,7.66171E+19,TRUE
897,7044883,7044983,7045083,62431000000,62341939509,8.53198E+19,3.87977E+19,4.65221E+19,4.65221E+19,8.27602E+19,TRUE
898,7044986,7045086,7045186,62341939509,62204566500,5.7141E+19,1.98259E+19,3.73151E+19,3.73151E+19,5.54267E+19,TRUE
899,7045088,7045188,7045288,62204566500,62165047970,1.0891E+20,3.33061E+19,7.56043E+19,7.56043E+19,1.05643E+20,TRUE
900,7045191,7045291,7045391,62165047970,62144499466,9.05946E+19,3.02645E+19,6.03301E+19,6.03301E+19,8.78768E+19,TRUE
901,7045293,7045393,7045493,62144499466,62172152706,8.06414E+19,3.38551E+19,4.67863E+19,3.38551E+19,7.82221E+19,TRUE
902,7045395,7045495,7045595,62172152706,62169346621,8.40013E+19,3.55195E+19,4.84818E+19,4.84818E+19,8.14813E+19,TRUE
903,7045497,7045597,7045697,62169346621,62272284014,5.38613E+19,3.4218E+19,1.96433E+19,3.4218E+19,5.22455E+19,TRUE
904,7045600,7045700,7045800,62272284014,62345326572,7.51382E+19,4.92327E+19,2.59055E+19,4.92327E+19,7.28841E+19,TRUE
905,7045702,7045802,7045902,62345326572,61973221039,1.11666E+20,5.29419E+19,5.87237E+19,5.87237E+19,1.08316E+20,TRUE
906,7045804,7045904,7046004,61973221039,61946967460,1.63086E+20,8.36224E+19,7.94631E+19,7.94631E+19,1.58193E+20,TRUE
907,7045906,7046006,7046106,61946967460,62002029439,9.31997E+19,5.51026E+19,3.80971E+19,5.51026E+19,9.04037E+19,TRUE
908,7046010,7046110,7046210,62002029439,62053594109,1.54986E+20,9.99656E+19,5.50207E+19,9.99656E+19,1.50337E+20,TRUE
909,7046113,7046213,7046313,62053594109,61996239504,2.13459E+20,1.63385E+20,5.00734E+19,5.00734E+19,2.07055E+20,TRUE
910,7046217,7046317,7046417,61996239504,62073523444,1.52155E+20,2.18515E+19,1.30303E+20,2.18515E+19,1.4759E+20,TRUE
911,7046319,7046419,7046519,62073523444,62000000000,2.19703E+20,1.50347E+20,6.93555E+19,6.93555E+19,2.13111E+20,TRUE
912,7046421,7046521,7046621,62000000000,61935855815,1.73226E+20,1.13576E+20,5.96497E+19,5.96497E+19,1.68029E+20,TRUE
913,7046524,7046624,7046724,61935855815,61919950623,1.25947E+20,7.72807E+19,4.86668E+19,4.86668E+19,1.22169E+20,TRUE
914,7046626,7046726,7046826,61919950623,61657795591,1.29099E+20,5.3716E+19,7.53828E+19,7.53828E+19,1.25226E+20,TRUE
915,7046729,7046829,7046929,61657795591,61803140199,4.33119E+20,2.75505E+20,1.57613E+20,2.75505E+20,4.20125E+20,TRUE
916,7046832,7046932,7047032,61803140199,61552063632,7.52396E+19,4.53269E+19,2.99127E+19,2.99127E+19,7.29824E+19,TRUE
917,7046935,7047035,7047135,61552063632,61526069587,1.35661E+20,5.04469E+19,8.5214E+19,8.5214E+19,1.31591E+20,TRUE
918,7047039,7047139,7047239,61526069587,61668942630,6.80506E+19,4.32607E+19,2.47899E+19,4.32607E+19,6.6009E+19,TRUE
919,7047142,7047242,7047342,61668942630,61721425198,1.23864E+20,8.54975E+19,3.83665E+19,8.54975E+19,1.20148E+20,TRUE
920,7047244,7047344,7047444,61721425198,61451721239,8.63628E+19,3.00275E+19,5.63354E+19,5.63354E+19,8.37719E+19,TRUE
921,7047346,7047446,7047546,61451721239,61614929962,1.12659E+20,2.26011E+19,9.00583E+19,2.26011E+19,1.0928E+20,TRUE
922,7047448,7047548,7047648,61614929962,61692000000,1.04312E+20,5.75664E+19,4.67458E+19,5.75664E+19,1.01183E+20,TRUE
923,7047550,7047650,7047750,61692000000,61730914963,8.1477E+19,4.9479E+19,3.1998E+19,4.9479E+19,7.90327E+19,TRUE
924,7047653,7047753,7047853,61730914963,61878876173,5.72248E+19,2.87789E+19,2.84459E+19,2.87789E+19,5.5508E+19,TRUE
